#BLTrackFile2 CALOCNTR
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
32.5514 -2.36376 18000 0.8886 2.11741 63.3636 145.429 211 38384 1 1 1 0 0 0 0 0 0 131.131 17859.1 0 0 0 25.4492 -4.26812 149.95 1.40026 13.7271 
-13.9282 12.1559 18000 -0.29847 -0.705978 65.2968 141.676 211 38797 1 1 1 0 0 0 0 0 0 126.746 17778 0 0 0 5.8517 7.16386 149.95 1.74309 14.521 
-27.042 -19.3572 18000 2.29019 -0.894776 69.0281 135.264 211 39212 1 1 1 0 0 0 0 0 0 119.837 17779.5 0 0 0 29.0063 -0.818087 149.95 1.55471 16.1564 
-15.4876 -8.10099 18000 0.227395 1.04084 68.6821 135.744 211 45238 1 1 1 0 0 0 0 0 0 120.617 17796.4 0 0 0 -3.26762 3.18992 149.95 1.31104 15.9875 
17.4752 -2.63502 18000 1.41899 -1.89758 62.2802 147.416 211 48321 1 1 1 0 0 0 0 0 0 133.226 17835.4 0 0 0 12.4253 2.22052 149.95 1.51021 13.2836 
5.20823 -9.63583 18000 2.09388 -1.12492 65.2433 141.738 211 50158 1 1 1 0 0 0 0 0 0 126.978 17806.5 0 0 0 26.3485 -8.60023 149.95 1.55462 14.5148 
6.11099 9.07167 18000 -2.72731 -2.39811 65.258 141.702 211 51286 1 1 1 0 0 0 0 0 0 126.992 17828.3 0 0 0 43.3255 2.74283 149.95 1.47468 14.5455 
-11.9778 7.53648 18000 1.95964 1.34668 66.6514 139.257 211 52750 1 1 1 0 0 0 0 0 0 124.179 17789.4 0 0 0 19.2768 10.7102 149.95 1.62961 15.1163 
-10.2286 -0.442229 18000 -1.26383 -0.0728727 65.2456 141.407 211 54319 1 1 1 0 0 0 0 0 0 126.827 17777.6 0 0 0 -8.64401 -0.379065 149.95 1.40148 14.5026 
40.3154 -3.1719 18000 2.56145 -2.86521 64.0161 144.03 211 55100 1 1 1 0 0 0 0 0 0 129.551 17845.9 0 0 0 25.1412 8.39335 149.95 1.457 14.0289 
-47.8315 -0.59398 18000 -2.98502 -0.966663 62.6129 146.74 211 56215 1 1 1 0 0 0 0 0 0 132.473 17838.7 0 0 0 -24.3013 -1.00261 149.95 1.51675 13.4333 
-9.8847 -1.24841 18000 -1.69063 -2.70684 65.7446 140.897 211 59044 1 1 1 0 0 0 0 0 0 125.779 17783.1 0 0 0 14.9666 -6.46756 149.95 1.83195 14.7424 
-9.27111 28.9568 18000 0.475041 -1.29903 69.8697 134.291 211 59375 1 1 1 0 0 0 0 0 0 118.802 17833.1 0 0 0 -2.88386 8.03686 149.95 1.42896 16.518 
21.6335 0.935835 18000 -0.314716 1.47293 62.3187 147.482 211 60100 1 1 1 0 0 0 0 0 0 133.262 17843.4 0 0 0 20.9999 -3.12456 149.95 1.5324 13.2883 
8.30012 -19.5264 18000 -1.01214 1.12847 67.8418 137.329 211 60122 1 1 1 0 0 0 0 0 0 122.205 17812.5 0 0 0 -7.49988 -2.8855 149.95 1.44516 15.6221 
-20.051 -5.5798 18000 -0.172693 0.369657 65.9537 140.147 211 62401 1 1 1 0 0 0 0 0 0 125.446 17771.9 0 0 0 -3.82826 -2.77662 149.95 1.39913 14.7991 
14.0724 -6.20919 18000 2.8013 -1.00914 65.3459 141.465 211 64371 1 1 1 0 0 0 0 0 0 126.677 17799 0 0 0 36.2612 -0.842594 149.95 1.56482 14.5687 
-25.7991 2.78975 18000 1.98477 0.929147 66.0091 139.893 211 64548 1 1 1 0 0 0 0 0 0 125.302 17775.7 0 0 0 -3.7211 1.90914 149.95 1.27094 14.8378 
-19.066 -6.57632 18000 0.672323 0.724354 64.3187 143.328 211 64651 1 1 1 0 0 0 0 0 0 128.705 17783.3 0 0 0 3.87093 -5.4894 149.95 1.61134 14.1104 
-16.9869 8.97255 18000 0.299589 -1.65368 64.2075 143.476 211 65203 1 1 1 0 0 0 0 0 0 128.913 17785.2 0 0 0 1.82328 4.91723 149.95 1.5673 14.0699 
-21.2823 -0.199516 18000 -0.905417 0.19792 62.6209 146.627 211 66307 1 1 1 0 0 0 0 0 0 132.349 17803.9 0 0 0 -8.29478 0.454757 149.95 1.56488 13.4072 
-28.5866 -17.3957 18000 0.301458 -0.0985699 62.9843 146.139 211 80800 1 1 1 0 0 0 0 0 0 131.728 17821.5 0 0 0 -10.3825 4.11639 149.95 1.61936 13.5538 
-0.966792 18.3513 18000 -1.03104 1.94894 60.6012 151.306 211 81069 1 1 1 0 0 0 0 0 0 137.196 17870.6 0 0 0 5.80917 -1.80356 149.95 1.71921 12.6047 
-0.267444 -4.54963 18000 1.54002 1.40288 66.0989 140.171 211 82108 1 1 1 0 0 0 0 0 0 125.148 17777.2 0 0 0 27.6176 -0.55908 149.95 1.68492 14.8748 
-23.0907 -13.5205 18000 -2.24272 -4.10529 64.3752 143.36 211 83213 1 1 1 0 0 0 0 0 0 128.576 17825.8 0 0 0 30.5036 9.44822 149.95 1.70109 14.202 
-17.226 -4.10133 18000 -0.184951 0.29722 65.7019 140.598 211 85068 1 1 1 0 0 0 0 0 0 125.921 17770.9 0 0 0 -1.01098 -2.14721 149.95 1.42215 14.6916 
13.9814 0.376577 18000 -0.297328 -0.413937 63.3499 145.305 211 86742 1 1 1 0 0 0 0 0 0 130.733 17789.9 0 0 0 23.8091 -0.841527 149.95 1.73421 13.7051 
-13.9132 -4.20612 18000 0.599568 1.67921 64.7659 142.415 211 86799 1 1 1 0 0 0 0 0 0 127.748 17778.4 0 0 0 6.87613 5.67931 149.95 1.57381 14.3052 
17.7146 21.6759 18000 0.234783 -0.296429 69.8438 134.291 211 90131 1 1 1 0 0 0 0 0 0 119.003 17853.3 0 0 0 -10.028 1.48189 149.95 1.21891 16.5007 
38.2748 16.4934 18000 -0.664538 -0.523985 68.9588 135.86 211 91198 1 1 1 0 0 0 0 0 0 120.45 17842.6 0 0 0 0.549568 3.49815 149.95 1.50766 16.1086 
-6.67986 -1.01548 18000 -0.115359 0.916733 62.4287 147.06 211 91653 1 1 1 0 0 0 0 0 0 132.743 17802.2 0 0 0 5.1823 -1.31805 149.95 1.63969 13.3286 
-3.62321 10.8724 18000 -0.294261 -0.805521 66.9948 138.516 211 91807 1 1 1 0 0 0 0 0 0 123.578 17784.7 0 0 0 -0.674791 0.314684 149.95 1.43614 15.2487 
-9.26286 9.31026 18000 1.4641 0.33262 66.217 140.043 211 93699 1 1 1 0 0 0 0 0 0 125.052 17791 0 0 0 23.9181 10.7415 149.95 1.62357 14.9186 
-26.8144 -2.08822 18000 -2.11257 -1.07533 63.3538 145.218 211 93964 1 1 1 0 0 0 0 0 0 130.714 17800.3 0 0 0 -11.8681 -0.531966 149.95 1.65078 13.7242 
25.4144 -3.06274 18000 3.52847 1.66828 67.2878 138.439 211 94237 1 1 1 0 0 0 0 0 0 123.085 17819.7 0 0 0 56.9492 -1.46192 149.95 1.7527 15.4225 
1.08895 10.7283 18000 2.67528 0.948307 64.0591 143.809 211 100334 1 1 1 0 0 0 0 0 0 129.264 17803.7 0 0 0 10.055 6.76243 149.95 1.55616 14.025 
36.6516 3.62455 18000 -1.8219 -0.340195 68.3743 136.728 211 101575 1 1 1 0 0 0 0 0 0 121.459 17844.7 0 0 0 -7.16901 0.432562 149.95 1.46833 15.8593 
3.22958 -6.44689 18000 -2.73336 -2.26432 68.1184 136.743 211 102504 1 1 1 0 0 0 0 0 0 121.756 17839 0 0 0 -15.5776 2.70569 149.95 1.22475 15.7764 
-24.0742 -1.75631 18000 0.258016 1.15391 69.1505 135.11 211 103734 1 1 1 0 0 0 0 0 0 119.77 17792.4 0 0 0 0.150051 5.99743 149.95 1.44223 16.1958 
-36.1653 -10.7751 18000 0.735729 -1.63252 68.6041 135.997 211 105112 1 1 1 0 0 0 0 0 0 120.567 17772.8 0 0 0 10.0157 -8.70251 149.95 1.64306 15.9598 
-39.1351 -4.36041 18000 -0.214926 -1.54296 70.141 133.552 211 106856 1 1 1 0 0 0 0 0 0 118.061 17791.6 0 0 0 -1.98069 9.77667 149.95 1.41401 16.6413 
22.1968 -9.78982 18000 -1.29124 -0.944141 67.8167 137.406 211 107742 1 1 1 0 0 0 0 0 0 122.12 17794 0 0 0 7.52778 -3.35147 149.95 1.62592 15.612 
26.8459 11.3398 18000 -0.613559 1.42119 63.7172 144.591 211 107895 1 1 1 0 0 0 0 0 0 130.152 17818.2 0 0 0 33.085 2.31913 149.95 1.51062 13.8642 
-19.7559 2.39645 18000 0.717621 0.574261 64.9792 142.169 211 108090 1 1 1 0 0 0 0 0 0 127.376 17780.1 0 0 0 8.65126 7.86933 149.95 1.6626 14.3875 
35.8879 24.7433 18000 0.351214 -0.414522 64.8418 142.543 211 109458 1 1 1 0 0 0 0 0 0 127.985 17826.2 0 0 0 37.337 3.17808 149.95 1.41914 14.3278 
29.1508 -5.17497 18000 0.846073 -3.41101 63.0793 145.884 211 109546 1 1 1 0 0 0 0 0 0 131.632 17862.8 0 0 0 21.7743 5.44469 149.95 1.39503 13.6329 
-34.9083 12.6797 18000 1.21275 1.90658 68.1013 136.77 211 110235 1 1 1 0 0 0 0 0 0 121.425 17771.8 0 0 0 8.50731 6.58035 149.95 1.64673 15.7447 
-27.9276 4.72276 18000 0.520393 0.106435 65.7749 140.669 211 110700 1 1 1 0 0 0 0 0 0 125.809 17775.2 0 0 0 2.75175 8.70818 149.95 1.58833 14.7232 
-10.7235 -0.759878 18000 1.9637 0.844021 64.2141 143.478 211 110735 1 1 1 0 0 0 0 0 0 128.939 17794.5 0 0 0 3.80392 -5.13867 149.95 1.53242 14.0783 
38.7525 10.0478 18000 -1.49037 -0.760559 68.5281 136.638 211 111488 1 1 1 0 0 0 0 0 0 121.181 17842.7 0 0 0 2.83941 3.6992 149.95 1.63043 15.9249 
-26.5957 10.7584 18000 0.539408 0.28127 69.0185 135.337 211 111836 1 1 1 0 0 0 0 0 0 120.101 17805.7 0 0 0 -4.04266 6.5548 149.95 1.35188 16.1339 
4.19269 -38.071 18000 -0.275161 0.0275406 66.6991 138.867 211 112403 1 1 1 0 0 0 0 0 0 123.765 17731.7 0 0 0 53.2441 -2.43405 149.95 1.69561 15.1188 
13.1066 -12.1614 18000 1.53541 -0.24491 66.9817 138.869 211 114421 1 1 1 0 0 0 0 0 0 123.862 17825.4 0 0 0 39.2425 9.14882 149.95 1.47555 15.2484 
-15.6683 10.1275 18000 -0.105859 -1.42334 65.9161 140.439 211 115757 1 1 1 0 0 0 0 0 0 125.519 17775.8 0 0 0 2.71983 -5.89126 149.95 1.62058 14.7892 
-25.3156 7.17302 18000 1.18793 -0.282335 65.8177 140.638 211 116670 1 1 1 0 0 0 0 0 0 125.756 17781.7 0 0 0 5.42238 8.00173 149.95 1.59571 14.7454 
-2.19194 -24.0416 18000 1.38061 0.188835 71.3537 132.865 211 123849 1 1 1 0 0 0 0 0 0 116.724 17893.2 0 0 0 12.2953 8.36026 149.95 1.76585 17.188 
-3.52539 -3.13474 18000 -0.216378 3.20078 64.4185 143.17 211 124065 1 1 1 0 0 0 0 0 0 128.379 17785.7 0 0 0 16.9794 4.65586 149.95 1.74598 14.1825 
-32.0821 -10.498 18000 -2.24407 -2.33218 64.4667 143.163 211 124554 1 1 1 0 0 0 0 0 0 128.478 17813.1 0 0 0 -13.8958 1.81723 149.95 1.61046 14.2032 
-7.93134 6.4347 18000 -0.899539 -0.260314 66.4622 139.244 211 129330 1 1 1 0 0 0 0 0 0 124.546 17781.8 0 0 0 -10.5103 2.49034 149.95 1.29477 15.0194 
-10.6722 -13.3119 18000 -0.688241 -4.44201 62.4158 147.162 211 129509 1 1 1 0 0 0 0 0 0 132.632 17827.6 0 0 0 13.5061 6.05827 149.95 1.80905 13.3866 
16.5927 0.891654 18000 -1.3743 -0.859197 66.7775 139.174 211 131247 1 1 1 0 0 0 0 0 0 124.017 17793.7 0 0 0 7.24568 -0.720058 149.95 1.68592 15.1609 
5.14539 -3.33754 18000 0.815101 0.783366 64.7287 142.599 211 131652 1 1 1 0 0 0 0 0 0 127.856 17779.2 0 0 0 27.7269 2.18073 149.95 1.65802 14.2834 
35.5021 -2.77681 18000 -0.710324 -0.291879 62.785 146.634 211 132460 1 1 1 0 0 0 0 0 0 132.467 17865.8 0 0 0 29.0108 1.8785 149.95 1.37961 13.4735 
10.461 -0.671869 18000 1.67135 0.101928 62.7588 146.382 211 132977 1 1 1 0 0 0 0 0 0 132.125 17817.4 0 0 0 15.1728 -1.79891 149.95 1.50477 13.4701 
-37.2421 18.6641 18000 0.970558 1.5027 70.1197 133.383 211 134533 1 1 1 0 0 0 0 0 0 117.897 17762.8 0 0 0 17.2794 -0.563381 149.95 1.43502 16.6342 
18.9518 -20.2183 18000 -0.471726 0.270721 68.3656 136.698 211 135509 1 1 1 0 0 0 0 0 0 121.302 17813.4 0 0 0 1.38049 -5.11845 149.95 1.62453 15.8454 
-25.5412 10.6228 18000 0.732632 -0.974267 67.3975 137.707 211 135582 1 1 1 0 0 0 0 0 0 122.816 17782.8 0 0 0 -3.77533 -0.86723 149.95 1.31692 15.4258 
-12.696 -3.33952 18000 2.22514 -2.81849 68.851 135.849 211 136779 1 1 1 0 0 0 0 0 0 120.424 17833.7 0 0 0 22.3849 13.0185 149.95 1.53318 16.0999 
13.1818 0.823115 18000 -2.44546 1.45428 67.3925 138.333 211 137836 1 1 1 0 0 0 0 0 0 123.024 17824.5 0 0 0 -1.6531 -3.93807 149.95 1.6951 15.4449 
-0.277496 3.52585 18000 -1.02505 1.02855 61.5254 149.137 211 141816 1 1 1 0 0 0 0 0 0 134.837 17824.3 0 0 0 10.0104 -0.940474 149.95 1.77359 12.9661 
