#BLTrackFile2 CALOENTR
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-4.68777 -17.72 17198.5 2.14559 2.214 63.4839 138.475 211 30282 1 1 1 0 0 0 0 0 0 124.652 17017.7 0 0 0 20.336 5.28483 149.95 1.50703 13.7907 
-22.1985 -41.2864 17198.5 1.24715 0.768821 70.1518 127.952 211 31350 1 1 1 0 0 0 0 0 0 113.094 17045.2 0 0 0 1.35118 -1.88243 149.95 1.36983 16.6453 
-22.653 27.3611 17198.5 2.31506 -3.32215 66.1545 133.575 211 32739 1 1 1 0 0 0 0 0 0 119.329 16988.1 0 0 0 0.237129 -4.93544 149.95 1.4747 14.9376 
38.9764 11.1517 17198.5 -2.36459 -0.868685 67.3495 131.816 211 34489 1 1 1 0 0 0 0 0 0 117.558 17018.4 0 0 0 -14.7654 0.721421 149.95 1.26999 15.4206 
-4.95414 -41.903 17198.5 1.52133 1.60115 66.4018 133.593 211 34663 1 1 1 0 0 0 0 0 0 119.193 17009.7 0 0 0 32.3755 -8.61133 149.95 1.58537 15.0064 
22.2284 95.6683 17198.5 -0.398326 -2.35425 69.7169 128.877 211 38311 1 1008 1 0 0 0 0 0 0 113.754 17044.6 0 0 0 12.3438 13.7509 149.95 1.70591 16.4618 
21.3121 -29.1456 17198.5 0.8886 2.11741 63.3636 138.961 211 38384 1 1 1 0 0 0 0 0 0 125.243 17057.1 0 0 0 25.4492 -4.26812 149.95 1.40026 13.7271 
-10.2648 20.8211 17198.5 -0.29847 -0.705978 65.2968 135.367 211 38797 1 1 1 0 0 0 0 0 0 121.032 16976.5 0 0 0 5.8517 7.16386 149.95 1.74309 14.521 
-53.6322 -8.96842 17198.5 2.29019 -0.894776 69.0281 129.233 211 39212 1 1 1 0 0 0 0 0 0 114.431 16977.6 0 0 0 29.0063 -0.818087 149.95 1.55471 16.1564 
-18.1411 -20.2466 17198.5 0.227395 1.04084 68.6821 129.689 211 45238 1 1 1 0 0 0 0 0 0 115.184 16994.8 0 0 0 -3.26762 3.18992 149.95 1.31104 15.9875 
-0.784931 21.7839 17198.5 1.41899 -1.89758 62.2802 140.855 211 48321 1 1 1 0 0 0 0 0 0 127.235 17033.3 0 0 0 12.4253 2.22052 149.95 1.51021 13.2836 
-20.5131 4.18265 17198.5 2.09388 -1.12492 65.2433 135.424 211 50158 1 1 1 0 0 0 0 0 0 121.259 17004.6 0 0 0 26.3485 -8.60023 149.95 1.55462 14.5148 
39.6058 38.5234 17198.5 -2.72731 -2.39811 65.258 135.388 211 51286 1 1 1 0 0 0 0 0 0 121.275 17025.6 0 0 0 43.3255 2.74283 149.95 1.47468 14.5455 
-35.5415 -8.65671 17198.5 1.95964 1.34668 66.6514 133.053 211 52750 1 1 1 0 0 0 0 0 0 118.58 16987.4 0 0 0 19.2768 10.7102 149.95 1.62961 15.1163 
5.29572 0.452909 17198.5 -1.26383 -0.0728727 65.2456 135.094 211 54319 1 1 1 0 0 0 0 0 0 121.108 16976 0 0 0 -8.64401 -0.379065 149.95 1.40148 14.5026 
8.24733 32.6992 17198.5 2.56145 -2.86521 64.0161 137.615 211 55100 1 1 1 0 0 0 0 0 0 123.722 17043 0 0 0 25.1412 8.39335 149.95 1.457 14.0289 
-9.62302 11.7794 17198.5 -2.98502 -0.966663 62.6129 140.207 211 56215 1 1 1 0 0 0 0 0 0 126.514 17036.3 0 0 0 -24.3013 -1.00261 149.95 1.51675 13.4333 
10.7247 31.749 17198.5 -1.69063 -2.70684 65.7446 134.622 211 59044 1 1 1 0 0 0 0 0 0 120.104 16980.7 0 0 0 14.9666 -6.46756 149.95 1.83195 14.7424 
-14.7201 43.8576 17198.5 0.475041 -1.29903 69.8697 128.319 211 59375 1 1 1 0 0 0 0 0 0 113.462 17031.5 0 0 0 -2.88386 8.03686 149.95 1.42896 16.518 
25.6809 -18.0068 17198.5 -0.314716 1.47293 62.3187 140.924 211 60100 1 1 1 0 0 0 0 0 0 127.274 17041.8 0 0 0 20.9999 -3.12456 149.95 1.5324 13.2883 
20.257 -32.8575 17198.5 -1.01214 1.12847 67.8418 131.214 211 60122 1 1 1 0 0 0 0 0 0 116.706 17010.8 0 0 0 -7.49988 -2.8855 149.95 1.44516 15.6221 
-17.9524 -10.0718 17198.5 -0.172693 0.369657 65.9537 133.89 211 62401 1 1 1 0 0 0 0 0 0 119.789 16970.4 0 0 0 -3.82826 -2.77662 149.95 1.39913 14.7991 
-20.2848 6.16759 17198.5 2.8013 -1.00914 65.3459 135.159 211 64371 1 1 1 0 0 0 0 0 0 120.967 16996.7 0 0 0 36.2612 -0.842594 149.95 1.56482 14.5687 
-49.8973 -8.4915 17198.5 1.98477 0.929147 66.0091 133.64 211 64548 1 1 1 0 0 0 0 0 0 119.649 16973.9 0 0 0 -3.7211 1.90914 149.95 1.27094 14.8378 
-27.4436 -15.6022 17198.5 0.672323 0.724354 64.3187 136.941 211 64651 1 1 1 0 0 0 0 0 0 122.904 16981.8 0 0 0 3.87093 -5.4894 149.95 1.61134 14.1104 
-20.7264 29.6141 17198.5 0.299589 -1.65368 64.2075 137.079 211 65203 1 1 1 0 0 0 0 0 0 123.102 16983.5 0 0 0 1.82328 4.91723 149.95 1.5673 14.0699 
-9.6944 -2.73259 17198.5 -0.905417 0.19792 62.6209 140.097 211 66307 1 1 1 0 0 0 0 0 0 126.391 17002.4 0 0 0 -8.29478 0.454757 149.95 1.56488 13.4072 
-32.4225 -16.1415 17198.5 0.301458 -0.0985699 62.9843 139.64 211 80800 1 1 1 0 0 0 0 0 0 125.804 17020 0 0 0 -10.3825 4.11639 149.95 1.61936 13.5538 
