# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
2153.1 12380 -21.042 115.395 2.737 85.563 3.957 1.24 2.215 3158 1736 2447 -3.292 1.236 -1.028 74.4
2163.1 12309 -21.085 115.912 2.709 84.844 3.941 1.241 2.211 3190 1709 2450 -3.298 1.227 -1.036 74.35
2173.1 12223 -21.126 116.114 2.654 84.219 3.912 1.244 2.206 3208 1688 2448 -3.289 1.221 -1.034 74.31
2183.1 12143 -21.307 116.295 2.634 83.604 3.886 1.246 2.2 3226 1667 2447 -3.279 1.214 -1.032 74.28
2193.1 12071 -21.435 116.631 2.603 82.966 3.866 1.248 2.197 3249 1644 2446 -3.271 1.205 -1.033 74.24
2203.1 12000 -21.668 116.899 2.512 82.369 3.842 1.253 2.194 3267 1622 2444 -3.256 1.197 -1.03 74.21
2213.1 11935 -22.001 117.291 2.540 81.696 3.825 1.255 2.191 3292 1597 2445 -3.252 1.185 -1.033 74.19
2223.1 11863 -22.110 117.601 2.566 81.039 3.804 1.259 2.188 3312 1573 2442 -3.235 1.175 -1.03 74.13
2233.1 11863 -22.831 118.736 2.544 80.408 3.811 1.262 2.193 3369 1545 2457 -3.26 1.159 -1.05 74.13
2243.1 11863 -23.554 119.869 2.522 79.781 3.818 1.266 2.198 3425 1517 2471 -3.283 1.144 -1.07 74.13
2253.1 11863 -24.277 121.001 2.500 79.156 3.826 1.27 2.204 3482 1490 2486 -3.303 1.127 -1.088 74.13
2263.1 11674 -23.814 119.522 2.408 78.694 3.749 1.28 2.191 3416 1481 2449 -3.201 1.125 -1.038 74.07
2273.1 11556 -23.822 119.197 2.378 78.014 3.708 1.286 2.184 3407 1460 2433 -3.154 1.113 -1.02 74.02
2283.1 11507 -24.208 119.694 2.379 77.370 3.698 1.292 2.186 3431 1434 2433 -3.131 1.095 -1.018 74
2293.1 11439 -24.606 119.836 2.457 76.784 3.678 1.3 2.187 3439 1412 2425 -3.082 1.076 -1.003 73.98
2303.1 11376 -24.737 120.148 2.410 76.149 3.661 1.306 2.186 3456 1388 2422 -3.034 1.054 -0.9897 73.94
2313.1 11322 -25.010 120.519 2.474 75.535 3.648 1.311 2.187 3477 1366 2421 -2.978 1.029 -0.9748 73.91
2323.1 11270 -25.422 120.828 2.447 74.960 3.632 1.317 2.187 3495 1345 2420 -2.921 1.001 -0.9599 73.9
2333.1 11218 -25.773 121.100 2.429 74.388 3.614 1.32 2.184 3515 1326 2421 -2.845 0.9709 -0.9371 73.87
2343.1 11152 -25.877 121.217 2.469 73.837 3.593 1.325 2.182 3526 1308 2417 -2.757 0.9377 -0.9098 73.84
2353.1 11103 -25.928 121.561 2.379 73.297 3.581 1.328 2.181 3548 1290 2419 -2.668 0.8998 -0.8839 73.81
2363.1 11046 -25.991 121.655 2.440 72.831 3.559 1.331 2.176 3561 1276 2419 -2.559 0.8606 -0.8491 73.77
2373.1 11000 -26.088 121.969 2.408 72.306 3.542 1.331 2.171 3588 1261 2425 -2.449 0.8162 -0.8166 73.74
2383.1 10955 -26.155 122.198 2.364 71.858 3.522 1.331 2.165 3612 1249 2430 -2.332 0.7701 -0.7808 73.71
2393.1 10915 -26.414 122.362 2.378 71.446 3.506 1.332 2.161 3630 1238 2434 -2.203 0.721 -0.7411 73.69
